ISSN|area|titulo|estrato|ano
1517-252X|HISTÓRIA|Amazônia em Cadernos|B4|2008
1414-753X|HISTÓRIA|Ambiente e Sociedade (Campinas)|B4|2008
1518-0360|HISTÓRIA|Âmbito Jurídico|C|2008
1405-2253|HISTÓRIA|America Latina en la Historía Económica|B2|2008
1130-2887|HISTÓRIA|América Latina Hoy|B3|2008
1980-4806|HISTÓRIA|Ameríndia (Fortaleza. Online)|B3|2008
1774-4296|HISTÓRIA|Anabases (Toulouse)|B2|2008
0100-1922|HISTÓRIA|Anais da Biblioteca Nacional|B1|2008
0874-9671|HISTÓRIA|Anais de História de Além-Mar|B1|2008
1413-1803|HISTÓRIA|Anais do Museu Histórico Nacional|B2|2008
0101-4714|HISTÓRIA|Anais do Museu Paulista (Impresso)|A1|2008
0871-4940|HISTÓRIA|Anais Universitários. Série Ciências Sociais e Humanas|B5|2008
1870-3488|HISTÓRIA|Analecta Historica Medica|B5|2008
1514-9927|HISTÓRIA|Anales de Historia Antigua, Medieval y Moderna|B2|2008
1516-2680|HISTÓRIA|Análise (PUCRS)|B5|2008
0003-2573|HISTÓRIA|Análise Social|B1|2008
0101-191X|HISTÓRIA|Ângulo (FATEA. Impresso)|B5|2008
0395-2649|HISTÓRIA|Annales (Paris)|A1|2008
1983-201X|HISTÓRIA|Anos 90 (Online, Porto Alegre)|B1|2008
0104-236X|HISTÓRIA|Anos 90 (UFRGS. Impresso)|A2|2008
1983-7615|HISTÓRIA|Antiguidade Clássica (Apucarama)|B3|2008
0066-4812|HISTÓRIA|Antipode (Oxford. Print)|A1|2008
1808-9194|HISTÓRIA|Antítese (Goiânia)|B3|2008
1984-3356|HISTÓRIA|Antíteses (Londrina)|B1|2008
0103-8893|HISTÓRIA|Anuario Brasileno de Estudios Hispanicos|B1|2008
1666-6836|HISTÓRIA|Anuario del Centro de Estudios Históricos Profesor Carlos S. A. Segreti|B3|2008
0326-9671|HISTÓRIA|Anuario IEHS|B2|2008
2176-0934|HISTÓRIA|Anuário Unesco/Metodista de Comunicação Regional|C|2008
1720-5077|HISTÓRIA|Apollo (Salerno)|B4|2008
1465-5047|HISTÓRIA|ARARA (Colchester)|B3|2008
1575-6823|HISTÓRIA|Araucaria (Madrid)|B2|2008
1555-8622|HISTÓRIA|Archaeologies|B5|2008
0104-7833|HISTÓRIA|Archetypon|B5|2008
0003-9101|HISTÓRIA|Archiv fur Geschichte der Philosophie|B4|2008
0037-8887|HISTÓRIA|Archivum Historicum Societatis Lesu|B3|2008
1645-6947|HISTÓRIA|Area Domeniu|B3|2008
1676-2800|HISTÓRIA|Argumenta (FUNDINOPI)|B5|2008
0187-5795|HISTÓRIA|Argumentos (México)|B4|2008
1981-2477|HISTÓRIA|Arqueologia Pública (UNICAMP)|B4|2008
1794-7480|HISTÓRIA|Arqueologia Suramericana|B5|2008
1808-5326|HISTÓRIA|Arquipélago (Porto Alegre)|B5|2008
0871-7664|HISTÓRIA|Arquipélago. História|B4|2008
1982-9930|HISTÓRIA|Arquiteturismo (São Paulo)|B5|2008
1809-6298|HISTÓRIA|Arquitextos (São Paulo)|B4|2008
0100-2244|HISTÓRIA|Arquivo e Administração|B4|2008
1982-3053|HISTÓRIA|Arquivo Maaravi (UFMG)|B3|2008
0590-966X|HISTÓRIA|Arquivos do Centro Cultural Português|C|2008
1809-9556|HISTÓRIA|Arquivos em Movimento (UFRJ. Online)|B3|2008
1634-6556|HISTÓRIA|Art Absolument|B5|2008
1806-2962|HISTÓRIA|Art& (São Paulo. Online)|B5|2008
1646-3463|HISTÓRIA|ARTCIENCIA.COM|B5|2008
1516-8603|HISTÓRIA|ArtCultura (UFU)|B1|2008
1516-1692|HISTÓRIA|Arte & Ensaio (UFRJ)|B5|2008
1413-005X|HISTÓRIA|Arte e Educação em Revista|B5|2008
1809-8274|HISTÓRIA|Artefilosofia (UFOP)|B5|2008
0300-4953|HISTÓRIA|Artes de México|B2|2008
1415-7950|HISTÓRIA|Asas da Palavra (UNAMA)|C|2008
0210-4466|HISTÓRIA|Asclepio (Madrid)|B1|2008
1982-1956|HISTÓRIA|Ateliê Geográfico (UFG)|B5|2008
1083-4141|HISTÓRIA|Athena Review|B3|2008
1677-0811|HISTÓRIA|Athos & Ethos|B5|2008
1518-9597|HISTÓRIA|Augusto Guzzo Revista Acadêmica (São Paulo)|C|2008
1806-2415|HISTÓRIA|Aventuras na História|C|2008
1134-2277|HISTÓRIA|Ayer (Madrid)|B3|2008
1518-4005|HISTÓRIA|Babel (Santos)|B5|2008
1982-0518|HISTÓRIA|Bagoas : Revista de Estudos Gays|B3|2008
1808-8473|HISTÓRIA|Baleia na Rede (UNESP. Marília)|B5|2008
0525-5708|HISTÓRIA|Barroco (Belo Horizonte)|B3|2008
1414-6339|HISTÓRIA|Benjamin Constant (Rio de Janeiro)|C|2008
0102-4388|HISTÓRIA|Biblos (Rio Grande)|B4|2008
0006-5218|HISTÓRIA|Blumenau em Cadernos|B4|2008
1981-1349|HISTÓRIA|Boletim (USP. Grupo de Estudos do Centro de Pesquisas em Arte & Fotografia do Departamento de Artes Plásticas)|B5|2008
0102-6968|HISTÓRIA|Boletim - Centro de Letras e Ciências Humanas (UEL)|B4|2008
1809-6042|HISTÓRIA|Boletim - Museu Histórico de Jataí|B5|2008
1982-1522|HISTÓRIA|Boletim CEDES|B3|2008
1516-1781|HISTÓRIA|Boletim da Comissão Maranhense de Folclore|B5|2008
1678-6556|HISTÓRIA|Boletim de Estudos em Hotelaria e Turismo|B5|2008
|HISTÓRIA|Boletim de História Demográfica|B3|2008
1806-2237|HISTÓRIA|Boletim do CEIB|B5|2008
1677-8693|HISTÓRIA|Boletim do CPA (UNICAMP)|B5|2008
0103-4278|HISTÓRIA|Boletim do Museu Paraense Emílio Goeldi. Série Ciências da Terra|B1|2008
1676-3661|HISTÓRIA|Boletim IBCCRIM|B5|2008
1519-1109|HISTÓRIA|Boletim Informativo - Arquivo Histórico Judaico Brasileiro|B4|2008
0006-6079|HISTÓRIA|Boletim Paulista de Geografia|B2|2008
1808-0405|HISTÓRIA|Boletim SOCED|B4|2008
1981-3384|HISTÓRIA|Boletim Tempo Presente (UFRJ)|B3|2008
0520-4100|HISTÓRIA|Boletin Americanista|B3|2008
0716-0763|HISTÓRIA|Boletín Antártico Chileno|B5|2008
0304-9221|HISTÓRIA|Boletín de la Sociedad Mexicana de Historia y Filosofia de la Medicina|B3|2008
1851-3689|HISTÓRIA|Boletín Electrónico de la Sociedad Argentina de Estudios Medievales|B3|2008
1981-0350|HISTÓRIA|BR História|B5|2008
1519-9053|HISTÓRIA|Brathair (Online)|B5|2008
1414-980X|HISTÓRIA|Bravo! (São Paulo)|C|2008
1808-4079|HISTÓRIA|Brazilian Journalism Research (Impresso)|B3|2008
0870-7618|HISTÓRIA|Brotéria (1925)|B2|2008
0582-1592|HISTÓRIA|Bulletin - Société Suisse des Américanistes|A2|2008
0823-2105|HISTÓRIA|Bulletin Canadien d'Histoire de la Médecine|B3|2008
1954-3093|HISTÓRIA|Bulletin du Centre d'Études Médiévales d'Auxerre|B1|2008
0261-3050|HISTÓRIA|Bulletin of Latin American Research|A1|2008
1881-2317|HISTÓRIA|Burajiru Kenkyuu / Revista de Estudos Brasileiros|B5|2008
1809-6050|HISTÓRIA|Cabanos (Arapiraca)|C|2008
1806-566X|HISTÓRIA|Caderno Caminhos da História (Universidade Severino Sombra)|B4|2008
0103-4979|HISTÓRIA|Caderno CRH (UFBA. Impresso)|B3|2008
0104-9380|HISTÓRIA|Caderno de Criação|B5|2008
1806-7131|HISTÓRIA|Caderno de Estudos da UNIFEOB|C|2008
1415-5052|HISTÓRIA|Caderno de Filosofia e Ciências Humanas|B5|2008
1679-3501|HISTÓRIA|Caderno de Idéias|B5|2008
1806-065X|HISTÓRIA|Caderno de Pesquisa Esse in Curso (Salvador)|B5|2008
1982-9876|HISTÓRIA|Caderno do Neder|C|2008
1983-7755|HISTÓRIA|Caderno do Núcleo de Leitura Multimeios|B5|2008
1516-9286|HISTÓRIA|Caderno Espaço Feminino (UFU)|B3|2008
1806-9142|HISTÓRIA|Caderno Seminal Digital (Rio de Janeiro)|B4|2008
1809-2624|HISTÓRIA|Caderno Universitário de História (UFRJ)|C|2008
1413-6597|HISTÓRIA|Cadernos Arquivo Edgard Leuenroth (UNICAMP)|B2|2008
1518-0395|HISTÓRIA|Cadernos Camilliani|B5|2008
0101-3262|HISTÓRIA|Cadernos CEDES (Impresso)|B1|2008
1413-4519|HISTÓRIA|Cadernos Ceru (USP)|B3|2008
1806-5031|HISTÓRIA|Cadernos da ABEM|B3|2008
1678-1244|HISTÓRIA|Cadernos da FUCAMP|B4|2008
0104-9658|HISTÓRIA|Cadernos de Antropologia e Imagem (UERJ)|B4|2008
1413-2095|HISTÓRIA|Cadernos de Arquitetura e Urbanismo (PUCMG)|B3|2008
1517-5758|HISTÓRIA|Cadernos de Estudos e Pesquisas (Universidade Salgado Oliveira)|B5|2008
0872-6884|HISTÓRIA|Cadernos de Estudos Municipais|B5|2008
1645-1910|HISTÓRIA|Cadernos de Estudos Sefarditas|B3|2008
0102-4248|HISTÓRIA|Cadernos de Estudos Sociais|B3|2008
1980-1785|HISTÓRIA|Cadernos de Graduação - Ciências Humanas e Sociais (UNIT)|B5|2008
1679-5636|HISTÓRIA|Cadernos de História (Belo Horizonte)|B4|2008
1980-0339|HISTÓRIA|Cadernos de História (UFOP. Mariana)|B4|2008
0103-6300|HISTÓRIA|Cadernos de História (UFU. Impresso)|B3|2008
1809-7634|HISTÓRIA|Cadernos de História da Ciência|B4|2008
1807-3859|HISTÓRIA|Cadernos de História da Educação (UFU. Impresso)|B4|2008
0104-9798|HISTÓRIA|Cadernos de Historia Social|B5|2008
1413-0238|HISTÓRIA|Cadernos de Letras (UFRJ)|B5|2008
1981-3090|HISTÓRIA|Cadernos de Pesquisa do CDHIS (Online)|B4|2008
1518-7640|HISTÓRIA|Cadernos de Pesquisa do CDHIS (UFU. Impresso)|B4|2008
1980-9700|HISTÓRIA|Cadernos de Pesquisa: Pensamento Educacional (Curitiba. Impresso)|B5|2008
1982-8853|HISTÓRIA|Cadernos de Pesquisas em Literatura|B5|2008
1516-0793|HISTÓRIA|Cadernos de Pós-Graduação|B5|2008
0102-311X|HISTÓRIA|Cadernos de Saúde Pública (ENSP. Impresso)|B1|2008
0103-6041|HISTÓRIA|Cadernos do Aplicação (UFRGS)|B5|2008
0103-510X|HISTÓRIA|Cadernos do CEAM (UnB)|B4|2008
0102-9711|HISTÓRIA|Cadernos do CEAS|B4|2008
1981-6782|HISTÓRIA|Cadernos do CEIA|B4|2008
1413-8409|HISTÓRIA|Cadernos do CEOM (UNOESC)|B5|2008
1678-586X|HISTÓRIA|Cadernos do CHDD (FUNAG)|B3|2008
1519-8782|HISTÓRIA|Cadernos do CNLF (CiFEFil)|B5|2008
1806-9118|HISTÓRIA|Cadernos do LEPAARQ (UFPEL)|B5|2008
1677-1125|HISTÓRIA|Cadernos do LOGEPA. Série Texto Didático (UFPB. Impresso)|B5|2008
0870-9874|HISTÓRIA|Cadernos do Noroeste|B4|2008
1807-9318|HISTÓRIA|Cadernos do Programa de Pós-Graduação em Artes Visuais da Escola de Belas Artes da Universidade Federal da Bahia|B3|2008
1980-4261|HISTÓRIA|Cadernos FAPA|B5|2008
1809-2977|HISTÓRIA|Cadernos Feministas de Economia e Política|B3|2008
1806-003X|HISTÓRIA|Cadernos IHU (UNISINOS)|B5|2008
1807-7862|HISTÓRIA|Cadernos IHU em Formação (UNISINOS)|B5|2008
1679-0316|HISTÓRIA|Cadernos IHU Idéias (UNISINOS)|B4|2008
1517-2422|HISTÓRIA|Cadernos Metrópole (PUCSP)|B3|2008
1982-4254|HISTÓRIA|Cadernos NAEI|B5|2008
1678-1872|HISTÓRIA|Cadernos Neolatinos (UFRJ)|B5|2008
1808-0243|HISTÓRIA|Cadernos NEPRE|B5|2008
1413-7755|HISTÓRIA|Cadernos Nietzsche|B1|2008
1809-3612|HISTÓRIA|Cadernos Olinda|B5|2008
0104-8333|HISTÓRIA|Cadernos Pagu (UNICAMP. Impresso)|A2|2008
1980-010X|HISTÓRIA|Cadernos Patrísticos|B5|2008
1414-462X|HISTÓRIA|Cadernos Saúde Coletiva (UFRJ)|B3|2008
1677-2288|HISTÓRIA|Cadernos UFS. História|B4|2008
1982-1816|HISTÓRIA|Cadernos UniFOA (Online)|B5|2008
1807-1619|HISTÓRIA|Cadernos UnilesteMG|C|2008
0008-0055|HISTÓRIA|Cahiers d'Études Africaines|A2|2008
1141-7161|HISTÓRIA|Cahiers des Amériques Latines (Paris)|A1|2008
0989-5191|HISTÓRIA|Cahiers du Brésil Contemporain|B1|2008
1676-3521|HISTÓRIA|Calíope (UFRJ)|B5|2008
0955-7571|HISTÓRIA|Cambridge Review of International Affairs|A1|2008
1678-3034|HISTÓRIA|Caminhos (UCG. Impresso)|B3|2008
1517-3771|HISTÓRIA|Caminhos da História (UNIMONTES)|B3|2008
1980-3451|HISTÓRIA|Caminhos da História (Vassouras. Online)|B5|2008
1678-6343|HISTÓRIA|Caminhos de Geografia (UFU)|B3|2008
1519-5538|HISTÓRIA|Campos (UFPR)|B2|2008
1646-3749|HISTÓRIA|Campus Social|B4|2008
1807-4170|HISTÓRIA|Candelária (Rio de Janeiro)|B5|2008
1807-376X|HISTÓRIA|Canindé (MAX/UFS. Impresso)|B5|2008
1982-0755|HISTÓRIA|Canoa do Tempo (UFAM)|B3|2008
1677-7794|HISTÓRIA|Cantareira (UFF)|B4|2008
1818-2917|HISTÓRIA|Canto Rodado|B5|2008
1147-6753|HISTÓRIA|Caravelle (Toulouse)|A2|2008
1414-221X|HISTÓRIA|Caros Amigos|C|2008
0101-5532|HISTÓRIA|Carta CEPRO|B5|2008
1413-0904|HISTÓRIA|Carta Internacional (USP)|B5|2008
1806-3012|HISTÓRIA|Cehilanet (São Paulo)|B5|2008
1623-5770|HISTÓRIA|CEM. Centre d'´Études Médiévales d'Auxerre|A2|2008
1518-1200|HISTÓRIA|Cena Internacional (UnB)|B5|2008
1676-5605|HISTÓRIA|Cenário Arquivístico|B5|2008
1981-9102|HISTÓRIA|Cenário Internacional|B5|2008
1517-8471|HISTÓRIA|CEPPG Revista (Catalão)|B4|2008
0104-3927|HISTÓRIA|Cerrados (UnB. Impresso)|B3|2008
1809-4015|HISTÓRIA|Chronos (UNIRIO)|B5|2008
1809-2888|HISTÓRIA|Ciberteologia (São Paulo. Edição em Português)|B5|2008
0327-4063|HISTÓRIA|Ciclos en la Historia, la Economía y la Sociedad|B2|2008
0103-2518|HISTÓRIA|Cidade Nova (Sao Paulo)|B5|2008
1676-4188|HISTÓRIA|Ciência & Ambiente|B5|2008
1806-194X|HISTÓRIA|Ciência & Conhecimento|B5|2008
0009-6725|HISTÓRIA|Ciência e Cultura|C|2008
1413-8123|HISTÓRIA|Ciência e Saúde Coletiva (Impresso)|B4|2008
0101-8515|HISTÓRIA|Ciência Hoje|C|2008
0103-2054|HISTÓRIA|Ciencia Hoje das Criancas|C|2008
0102-4868|HISTÓRIA|Ciências & Letras (FAPA. Impresso)|C|2008
1980-9425|HISTÓRIA|Ciências da Religião (Mackenzie. Online)|B5|2008
1678-8192|HISTÓRIA|Ciências Humanas em Revista (UFMA)|B5|2008
1519-7050|HISTÓRIA|Ciências Sociais Unisinos|B5|2008
0104-4451|HISTÓRIA|Circulo de Estudos (PUCPR)|B5|2008
1519-6089|HISTÓRIA|Civitas: Revista de Ciências Sociais (Impresso)|B4|2008
1850-3381|HISTÓRIA|Clang (La Plata)|B5|2008
1676-9821|HISTÓRIA|Claretiano (Batatais)|C|2008
1666-1842|HISTÓRIA|Claroscuro (Rosario)|B3|2008
0102-4736|HISTÓRIA|Clio (Recife)|B2|2008
1252-7017|HISTÓRIA|Clio (Toulouse)|A2|2008
0102-6003|HISTÓRIA|Clio. Série Arqueológica (UFPE)|B3|2008
0102-9487|HISTÓRIA|Clio. Série História do Nordeste (UFPE)|B3|2008
0870-4104|HISTÓRIA|Clio: Revista do Centro de História da Universidade de Lisboa|B3|2008
1676-0395|HISTÓRIA|Coletêneas do Nosso Tempo|C|2008
1063-5769|HISTÓRIA|Colonial Latin American Historical Review|B1|2008
1982-7415|HISTÓRIA|Colóquios (Palmas)|B5|2008
1519-7654|HISTÓRIA|ComCiência (UNICAMP)|C|2008
1676-3475|HISTÓRIA|Communicare (São Paulo)|B4|2008
0588-8018|HISTÓRIA|Communications (Paris. 1962)|A2|2008
1131-6993|HISTÓRIA|Complutum (Madrid)|A2|2008
0994-8597|HISTÓRIA|Compostelle (Revue)|A2|2008
0101-305X|HISTÓRIA|Comum (FACHA)|B5|2008
1809-564X|HISTÓRIA|Comunicação & Inovação|B5|2008
0102-6925|HISTÓRIA|Comunicação & Política|B3|2008
1806-4981|HISTÓRIA|Comunicação, Mídia e Consumo (São Paulo. Impresso)|B5|2008
0102-3055|HISTÓRIA|Comunicações do ISER|B2|2008
1519-7204|HISTÓRIA|Conceitos (João Pessoa)|B5|2008
1415-2681|HISTÓRIA|Concinnitas (Rio de Janeiro. Impresso)|B5|2008
1677-0943|HISTÓRIA|Conexão (UCS)|B5|2008
1678-7145|HISTÓRIA|Confluências (Niterói)|B3|2008
1808-6276|HISTÓRIA|Confraria (Rio de Janeiro)|B5|2008
1413-1536|HISTÓRIA|Conjuntura & Planejamento|B3|2008
0010-5945|HISTÓRIA|Conjuntura Economica (Rio de Janeiro)|B1|2008
0103-2364|HISTÓRIA|Consciência (FACEPAL)|B5|2008
1982-3231|HISTÓRIA|Contemporâneos: Revista de Artes e Humanidades (Online)|B5|2008
1519-7573|HISTÓRIA|Contexto (Montes Claros)|B5|2008
0102-8529|HISTÓRIA|Contexto Internacional (PUCRJ. Impresso)|B1|2008
0103-0183|HISTÓRIA|Contextos (Rio de Janeiro)|B5|2008
1669-953X|HISTÓRIA|Contra/Relatos Desde el Sur|B3|2008
1414-7483|HISTÓRIA|Contracampo (UFF)|B5|2008
1665-8965|HISTÓRIA|Contrahistorias|C|2008
1510-7523|HISTÓRIA|ContraPunto (Montevideo)|B4|2008
1807-9326|HISTÓRIA|Contributions to the History of Concepts (Rio de Janeiro)|B1|2008
0010-809X|HISTÓRIA|Controspazio (Bari)|B2|2008
1414-0381|HISTÓRIA|Convergência Lusíada|B1|2008
1413-4004|HISTÓRIA|Crítica (UEL)|B4|2008
0011-152X|HISTÓRIA|Critica Marxista (Roma)|B1|2008
0104-9321|HISTÓRIA|Critica Marxista (São Paulo)|B3|2008
1679-7655|HISTÓRIA|Crítica Social (Rio de Janeiro)|B5|2008
0308-275X|HISTÓRIA|Critique of Anthropology|B1|2008
1518-8620|HISTÓRIA|Cronos (Pedro Leopoldo)|B4|2008
1139-711X|HISTÓRIA|Cronos (Valencia)|B1|2008
1833-878X|HISTÓRIA|Crossroads (St. Lucia, Qld.)|B1|2008
0011-2356|HISTÓRIA|Cuadernos Americanos|B1|2008
0325-1195|HISTÓRIA|Cuadernos de Historia de España|B2|2008
1666-8804|HISTÓRIA|Cuadernos del Sur (Buenos Aires. 1984)|B2|2008
1414-7076|HISTÓRIA|Cult (São Paulo)|C|2008
0870-4546|HISTÓRIA|Cultura (Lisboa)|B1|2008
1699-8308|HISTÓRIA|Cultura Escrita & Sociedad|B4|2008
0104-222X|HISTÓRIA|Cultura Vozes|B4|2008
1696-5043|HISTÓRIA|Cultura, Ciencia y Deporte (Guadalupe)|B4|2008
1478-0046|HISTÓRIA|Cultural and Social History (Online)|B2|2008
0011-3204|HISTÓRIA|Current Anthropology|B1|2008
1807-6432|HISTÓRIA|Da Vinci (Curitiba. Impresso)|B5|2008
0011-5258|HISTÓRIA|Dados (Rio de Janeiro. Impresso)|A1|2008
1970-2175|HISTÓRIA|Daedalus (Arcavacata di Rende)|C|2008
1808-3129|HISTÓRIA|DAPesquisa|B5|2008
1982-3894|HISTÓRIA|Desigualdade & Diversidade (PUCRJ)|B4|2008
1414-9109|HISTÓRIA|Dia-logos (Rio de Janeiro)|B5|2008
1981-0970|HISTÓRIA|Dialogando no Turismo (UNESP. Rosana)|B5|2008
1677-1303|HISTÓRIA|Dialogia (UNINOVE. Impresso)|B5|2008
1519-3640|HISTÓRIA|Diálogo (Canoas)|B5|2008
1519-9584|HISTÓRIA|Diálogo (UEL)|B3|2008
1677-2601|HISTÓRIA|Diálogo Jurídico (Fortaleza. 2002)|B5|2008
1806-8545|HISTÓRIA|Diálogos & Saberes (Mandaguari)|C|2008
1415-9945|HISTÓRIA|Diálogos (Maringá. Impresso)|B1|2008
1677-6488|HISTÓRIA|Diálogos (UNOESTE. Xanxerê)|B5|2008
1600-0110|HISTÓRIA|Diálogos Latinoamericanos|A2|2008
1677-7603|HISTÓRIA|Diálogos Possíveis (FSBA)|B5|2008
0755-7256|HISTÓRIA|Dialogues d'Histoire Ancienne|A2|2008
1808-4656|HISTÓRIA|Dialogus (Ribeirão Preto)|B5|2008
1983-5922|HISTÓRIA|Dilemas: Revista de Estudos de Conflito e Controle Social|B4|2008
1413-988X|HISTÓRIA|Discursos Sediciosos (Rio de Janeiro)|B4|2008
0103-4383|HISTÓRIA|Divulgacao em Saude para Debate|B4|2008
1982-0313|HISTÓRIA|Dobras (Barueri, SP)|C|2008
1380-3204|HISTÓRIA|DOCOMOMO Journal|B2|2008
1808-074X|HISTÓRIA|Documentos Culturais|C|2008
1807-3883|HISTÓRIA|Dois Pontos (UFPR)|B5|2008
1982-2766|HISTÓRIA|Domínios da Imagem (UEL)|B5|2008
0211-9536|HISTÓRIA|Dynamis (Granada)|B2|2008
1808-2599|HISTÓRIA|E-Compós (Brasília)|B3|2008
1984-767X|HISTÓRIA|e-Hum|C|2008
1666-9606|HISTÓRIA|E-Latina (Buenos Aires)|B4|2008
1982-3649|HISTÓRIA|E-Lex Revista|B5|2008
1981-1438|HISTÓRIA|E-Premissas : Revista de Estudos Estratégicos (UNICAMP)|B5|2008
1808-0588|HISTÓRIA|E.T.C. Educação, Tecnologia e Cultura|B5|2008
1517-1949|HISTÓRIA|Eccos Revista Científica (Impresso)|B5|2008
1516-7666|HISTÓRIA|Economia & Pesquisa (Araçatuba)|C|2008
1413-8050|HISTÓRIA|Economia Aplicada (Impresso)|B4|2008
0717-7135|HISTÓRIA|Economía Crítica y Desarrollo|B5|2008
1517-1302|HISTÓRIA|Econômica (Niterói)|B4|2008
1138-9621|HISTÓRIA|Edad Media (Valladolid)|A2|2008
1679-8872|HISTÓRIA|Edição Especial História Viva|C|2008
1415-9902|HISTÓRIA|Educação & Linguagem|B5|2008
0104-4346|HISTÓRIA|Educacao & Mudanca (Faculdade de Filosofia Bernardo Sayão)|C|2008
0101-7330|HISTÓRIA|Educação & Sociedade (Impresso)|B1|2008
0101-465X|HISTÓRIA|Educação (PUCRS. Impresso)|B4|2008
0101-9031|HISTÓRIA|Educação (UFSM)|B5|2008
1678-0701|HISTÓRIA|Educação Ambiental em Ação|B5|2008
1516-2958|HISTÓRIA|Educação e Cidadania|B4|2008
1982-6273|HISTÓRIA|Educação e Fronteiras (UFGD)|B5|2008
0102-4698|HISTÓRIA|Educação em Revista (UFMG. Impresso)|B3|2008
1414-3895|HISTÓRIA|Educação Gráfica (UNESP. Bauru)|B5|2008
1519-387X|HISTÓRIA|Educação Unisinos|B4|2008
0104-4060|HISTÓRIA|Educar em Revista (Impresso)|B4|2008
1239-2685|HISTÓRIA|EJBO. Electronic Journal of Business and Organization Ethics|B3|2008
0104-1037|HISTÓRIA|Em Aberto|B5|2008
1414-8609|HISTÓRIA|Em Pauta (Rio De Janeiro)|B4|2008
1807-8893|HISTÓRIA|Em Questão (UFRGS. Impresso)|B4|2008
1517-1108|HISTÓRIA|Em Tempo de Histórias|B5|2008
1808-7914|HISTÓRIA|Emblemas (UFG. Catalão)|B5|2008
0214-3038|HISTÓRIA|En la España Medieval|B1|2008
1138-6622|HISTÓRIA|Encontros (Olivenza)|A2|2008
1807-3867|HISTÓRIA|Encontros (Rio de Janeiro)|B5|2008
1518-7497|HISTÓRIA|Encontros (Santa Cruz do Rio Pardo)|C|2008
1518-2924|HISTÓRIA|Encontros Bibli|B5|2008
1415-4471|HISTÓRIA|Encontros Teológicos (Florianópolis)|B5|2008
1688-5236|HISTÓRIA|Encuentros Uruguayos (En línea)|B4|2008
1415-2150|HISTÓRIA|Ensaio: Pesquisa em Educação em Ciências (Impresso)|B5|2008
1414-8854|HISTÓRIA|Ensaios de História (Franca)|C|2008
1676-1030|HISTÓRIA|Ensino e Pesquisa (União da Vitória)|C|2008
1676-8671|HISTÓRIA|Entre Passado e Futuro|B5|2008
1808-1010|HISTÓRIA|Entrelivros (São Paulo)|B5|2008
0967-3407|HISTÓRIA|Environment and History|B1|2008
0013-9572|HISTÓRIA|Epigraphica (Faenza)|B1|2008
1413-5736|HISTÓRIA|Episteme (Porto Alegre)|B5|2008
1517-7823|HISTÓRIA|Épistémologiques (USP)|B5|2008
1518-2487|HISTÓRIA|Eptic (UFS)|B4|2008
1414-722X|HISTÓRIA|Esboços (UFSC)|B2|2008
1516-5221|HISTÓRIA|Escola Letra Freudiana|B4|2008
1981-5603|HISTÓRIA|Escritas (Goiânia)|C|2008
1981-626X|HISTÓRIA|Escritos (Fundação Casa de Rui Barbosa)|B4|2008
0798-1961|HISTÓRIA|Escudo (Caracas)|C|2008
1982-6524|HISTÓRIA|Espaço Ameríndio (UFRGS)|B5|2008
0104-7469|HISTÓRIA|Espaço Pedagógico|B4|2008
1981-478X|HISTÓRIA|Espaço Plural (Marechal Cândido Rondon. Online)|B5|2008
