ISSN|area|titulo|estrato|ano
0147-5967|ECONOMIA|Journal of Comparative Economics (Print)|B2|2008
0304-3878|ECONOMIA|Journal of Development Economics (Print)|A2|2008
0022-0388|ECONOMIA|Journal of Development Studies|B1|2008
0304-4076|ECONOMIA|Journal of Econometrics|A1|2008
0167-2681|ECONOMIA|Journal of Economic Behavior & Organization|A2|2008
0165-1889|ECONOMIA|Journal of Economic Dynamics & Control|A2|2008
1381-4338|ECONOMIA|Journal of Economic Growth (Boston)|A2|2008
1225-651X|ECONOMIA|Journal of Economic Integration (Seoul. Print)|B5|2008
0021-3624|ECONOMIA|Journal of Economic Issues|A2|2008
0022-0515|ECONOMIA|Journal of Economic Literature|A1|2008
1350-178X|ECONOMIA|Journal of Economic Methodology|A1|2008
0167-4870|ECONOMIA|Journal of Economic Psychology|B2|2008
0144-3585|ECONOMIA|Journal of Economic Studies (Bradford)|A2|2008
0022-0531|ECONOMIA|Journal of Economic Theory (Print)|A1|2008
1058-6407|ECONOMIA|Journal of Economics & Management Strategy|B1|2008
0148-6195|ECONOMIA|Journal of Economics and Business|B5|2008
1083-9798|ECONOMIA|Journal of Emerging Markets|B2|2008
0095-0696|ECONOMIA|Journal of Environmental Economics and Management (Print)|A2|2008
0304-405X|ECONOMIA|Journal of Financial Economics|A1|2008
1042-9573|ECONOMIA|Journal of Financial Intermediation (Print)|A2|2008
0277-6693|ECONOMIA|Journal of Forecasting (Print)|B2|2008
0167-6296|ECONOMIA|Journal of Health Economics|A2|2008
1051-1377|ECONOMIA|Journal of Housing Economics|B2|2008
0926-6437|ECONOMIA|Journal of Income Distribution (Print)|B4|2008
0022-1821|ECONOMIA|Journal of Industrial Economics (Print)|A2|2008
1744-1374|ECONOMIA|Journal of Institutional Economics (Print)|B4|2008
0260-1079|ECONOMIA|Journal of Interdisciplinary Economics|B5|2008
1544-8037|ECONOMIA|Journal of International Business and Economics|B3|2008
0022-1996|ECONOMIA|Journal of International Economics (Print)|A1|2008
1555-6336|ECONOMIA|Journal of International Finance and Economics|B5|2008
0261-5606|ECONOMIA|Journal of International Money and Finance|A2|2008
0734-306X|ECONOMIA|Journal of Labor Economics|A2|2008
0195-3613|ECONOMIA|Journal of Labor Research|B3|2008
0022-216X|ECONOMIA|Journal of Latin American Studies (Print)|B1|2008
8756-6222|ECONOMIA|Journal of Law, Economics, & Organization|A2|2008
0164-0704|ECONOMIA|Journal of Macroeconomics|B3|2008
0304-8853|ECONOMIA|Journal of Magnetism and Magnetic Materials|B3|2008
0022-2380|ECONOMIA|Journal of Management Studies (Oxford. Print)|B2|2008
0304-4068|ECONOMIA|Journal of Mathematical Economics (Print)|A2|2008
0899-7764|ECONOMIA|Journal of Media Economics|B4|2008
0304-3932|ECONOMIA|Journal of Monetary Economics (Print)|A1|2008
1368-5201|ECONOMIA|Journal of Money Laundering Control|B3|2008
0022-2879|ECONOMIA|Journal of Money, Credit and Banking|A1|2008
0022-3239|ECONOMIA|Journal of Optimization Theory and Applications|B2|2008
1454-4164|ECONOMIA|Journal of Optoelectronics and Advanced Materials (Print)|B3|2008
0276-8739|ECONOMIA|Journal of Policy Analysis and Management (Print)|B1|2008
0161-8938|ECONOMIA|Journal of Policy Modeling|B3|2008
0022-3808|ECONOMIA|Journal of Political Economy|A1|2008
0933-1433|ECONOMIA|Journal of Population Economics|B1|2008
0160-3477|ECONOMIA|Journal of Post Keynesian Economics|A1|2008
0895-562X|ECONOMIA|Journal of Productivity Analysis|B2|2008
1097-3923|ECONOMIA|Journal of Public Economic Theory (Print)|B1|2008
0047-2727|ECONOMIA|Journal of Public Economics|A1|2008
0895-5638|ECONOMIA|Journal of Real Estate Finance and Economics|B2|2008
0022-4146|ECONOMIA|Journal of Regional Science|B3|2008
0922-680X|ECONOMIA|Journal of Regulatory Economics|B1|2008
0895-5646|ECONOMIA|Journal of Risk and Uncertainty|B1|2008
0718-2724|ECONOMIA|Journal of Technology Management & Innovation|B5|2008
1053-8372|ECONOMIA|Journal of the History of Economic Thought|B3|2008
0889-1583|ECONOMIA|Journal of the Japanese and International Economies (Print)|B2|2008
0143-9782|ECONOMIA|Journal of Time Series Analysis (Print)|B4|2008
0022-5258|ECONOMIA|Journal of Transport Economics and Policy|B2|2008
0094-1190|ECONOMIA|Journal of Urban Economics (Print)|B1|2008
0031-4773|ECONOMIA|La Pensée (Paris)|B5|2008
0927-5371|ECONOMIA|Labour Economics|B1|2008
0023-7639|ECONOMIA|Land Economics|B1|2008
1097-8526|ECONOMIA|Latin American Business Review (Binghamton, N.Y.)|B3|2008
0023-8791|ECONOMIA|Latin American Research Review|B3|2008
0075-8442|ECONOMIA|Lecture Notes in Economics and Mathematical Systems|B5|2008
0362-9805|ECONOMIA|Legislative Studies Quarterly|B2|2008
1415-6245|ECONOMIA|Leituras de Economia Política (UNICAMP)|B5|2008
0840-7827|ECONOMIA|Liaison Énergie Francophonie|C|2008
1413-3024|ECONOMIA|Locus (UFJF)|B3|2008
1365-1005|ECONOMIA|Macroeconomic Dynamics (Print)|A2|2008
1463-6786|ECONOMIA|Manchester School (1998. Print)|B2|2008
0165-4896|ECONOMIA|Mathematical Social Sciences|B1|2008
1698-3726|ECONOMIA|Mediterráneo Económico|B5|2008
0104-0898|ECONOMIA|Metalurgia & Materiais|B3|2008
0026-1386|ECONOMIA|Metroeconomica (Testo stampato)|B1|2008
0098-1818|ECONOMIA|Monthly Labor Review|B2|2008
0027-0520|ECONOMIA|Monthly Review (New York. 1949)|B5|2008
1517-199X|ECONOMIA|Movendo Idéias (UNAMA)|B5|2008
0028-0283|ECONOMIA|National Tax Journal|A2|2008
1356-3467|ECONOMIA|New Political Economy|B2|2008
1516-9022|ECONOMIA|Nexos Econômicos (Salvador)|B5|2008
0103-6351|ECONOMIA|Nova Economia (UFMG. Impresso)|B2|2008
1516-6481|ECONOMIA|Novos Cadernos NAEA|B5|2008
0101-3300|ECONOMIA|Novos Estudos CEBRAP (Impresso)|B2|2008
0251-3552|ECONOMIA|Nueva Sociedad|B4|2008
1519-5481|ECONOMIA|O Público e o Privado (UECE)|C|2008
1515-3282|ECONOMIA|Observatorio Social de América Latina|B3|2008
1988-2483|ECONOMIA|Oídles (Málaga)|B4|2008
1808-0235|ECONOMIA|Oikos (Rio de Janeiro)|B5|2008
0101-5273|ECONOMIA|Oikos (Viçosa, Mg)|B5|2008
0305-0483|ECONOMIA|Omega (Oxford)|B2|2008
0923-7992|ECONOMIA|Open Economies Review|B4|2008
1413-585X|ECONOMIA|Organizações & Sociedade (Impresso)|B5|2008
1517-3879|ECONOMIA|Organizações Rurais e Agroindustriais (UFLA)|B5|2008
1047-7039|ECONOMIA|Organization Science (Providence, R.I.)|B5|2008
0305-9049|ECONOMIA|Oxford Bulletin of Economics and Statistics (Print)|B1|2008
1360-0818|ECONOMIA|Oxford Development Studies|B2|2008
0030-7653|ECONOMIA|Oxford Economic Papers|B1|2008
0266-903X|ECONOMIA|Oxford Review of Economic Policy (Print)|B1|2008
1405-7425|ECONOMIA|Papeles de Población|B2|2008
1056-8190|ECONOMIA|Papers in Regional Science|B4|2008
1478-5315|ECONOMIA|Pensions (London. 2002)|B5|2008
1514-559X|ECONOMIA|Periferias (Buenos Aires)|C|2008
1808-575X|ECONOMIA|Perspectiva Econômica (São Leopoldo. Online)|B5|2008
0100-039X|ECONOMIA|Perspectiva Econômica (UNISINOS. Impresso)|B5|2008
0101-3459|ECONOMIA|Perspectivas: Revista de Ciências Sociais (UNESP. Araraquara. Impresso)|B5|2008
0102-7603|ECONOMIA|Pesquisa & Debate (PUCSP. 1985. Impresso)|B4|2008
0100-0551|ECONOMIA|Pesquisa e Planejamento Econômico (Rio de Janeiro)|B2|2008
1808-978X|ECONOMIA|Pesquisa em Debate (São Paulo. 2004)|B4|2008
0101-7438|ECONOMIA|Pesquisa Operacional (Impresso)|B2|2008
0101-5397|ECONOMIA|Petro & Química|C|2008
0378-4371|ECONOMIA|Physica. A (Print)|B2|2008
0921-4526|ECONOMIA|Physica. B, Condensed Matter (Print)|B4|2008
1539-3755|ECONOMIA|Physical Review. E, Statistical, Nonlinear, and Soft Matter Physics (Print)|B1|2008
0375-9601|ECONOMIA|Physics Letters. A (Print)|B2|2008
0103-4138|ECONOMIA|Planejamento e Politicas Publicas|B3|2008
0717-6554|ECONOMIA|Polis (Santiago. Impresa)|B3|2008
1677-4140|ECONOMIA|Política & Sociedade (Impresso)|B2|2008
0032-3233|ECONOMIA|Politická Ekonomie|B4|2008
0032-471X|ECONOMIA|Population Review (Print)|B5|2008
0301-7036|ECONOMIA|Problemas del Desarrollo|B3|2008
0103-6513|ECONOMIA|Produção (São Paulo. Impresso)|B2|2008
2037-3635|ECONOMIA|PSL Quarterly Review|B3|2008
0048-5829|ECONOMIA|Public Choice|B1|2008
1469-7688|ECONOMIA|Quantitative Finance (Print)|B1|2008
1981-5700|ECONOMIA|RAC Eletrônica|B4|2008
1415-6555|ECONOMIA|RAC. Revista de Administração Contemporânea (Impresso)|B4|2008
1982-7334|ECONOMIA|RAD (Rio de Janeiro)|C|2008
0034-7590|ECONOMIA|RAE (Impresso)|B4|2008
1518-6776|ECONOMIA|RAM. Revista de Administração Mackenzie (Impresso)|B3|2008
1981-9951|ECONOMIA|Rama : Revista em Agronegócio e Meio Ambiente|C|2008
1676-8000|ECONOMIA|RBEE. Revista Brasileira de Economia de Empresas|B4|2008
1808-7647|ECONOMIA|RCA. Revista de Controle e Administração|C|2008
1516-1684|ECONOMIA|RDE. Revista de Desenvolvimento Econômico|B5|2008
1080-8620|ECONOMIA|Real Estate Economics|B2|2008
1983-8484|ECONOMIA|REBRAE. Revista Brasileira de Estratégia (Impresso)|C|2008
1981-6278|ECONOMIA|RECIIS. Revista Eletrônica de Comunicação, Informação & Inovação em Saúde (Edição em Português. Online)|B4|2008
1809-2276|ECONOMIA|REGE. Revista de Gestão USP|B3|2008
0166-0462|ECONOMIA|Regional Science and Urban Economics|B1|2008
0034-3404|ECONOMIA|Regional Studies|B1|2008
0161-7230|ECONOMIA|Research in Political Economy|B4|2008
0048-7333|ECONOMIA|Research Policy|A2|2008
1552-2814|ECONOMIA|Research Review (Federal Reserve Bank of Boston)|B3|2008
0928-7655|ECONOMIA|Resource and Energy Economics|B2|2008
1058-7195|ECONOMIA|Review of Agricultural Economics|B1|2008
1546-2609|ECONOMIA|Review of Business Research|B4|2008
1094-2025|ECONOMIA|Review of Economic Dynamics (Print)|A2|2008
0034-6527|ECONOMIA|Review of Economic Studies|A1|2008
0965-7576|ECONOMIA|Review of International Economics (Print)|B1|2008
0969-2290|ECONOMIA|Review of International Political Economy (Print)|B4|2008
0953-8259|ECONOMIA|Review of Political Economy|A2|2008
0034-6764|ECONOMIA|Review of Social Economy|B3|2008
1698-1359|ECONOMIA|Review of the Economic Research on Copyright Issues (Ed. impresa)|B2|2008
1610-2878|ECONOMIA|Review of World Economics (2003. Print)|B1|2008
1983-716X|ECONOMIA|Revista Alcance (Online)|B5|2008
1518-5532|ECONOMIA|Revista ANGRAD|C|2008
0101-0964|ECONOMIA|Revista ANPEC|B2|2008
0100-6762|ECONOMIA|Revista Árvore (Impresso)|B4|2008
1516-7429|ECONOMIA|Revista Brasileira de Administração Pública e de Empresas|B5|2008
0100-0691|ECONOMIA|Revista Brasileira de Biblioteconomia e Documentação (Impresso)|B5|2008
1983-0823|ECONOMIA|Revista Brasileira de Biometria|C|2008
1678-7072|ECONOMIA|Revista Brasileira de Direito Público|C|2008
0034-7140|ECONOMIA|Revista Brasileira de Economia (Impresso)|B2|2008
0104-303X|ECONOMIA|Revista Brasileira de Energia|B3|2008
1806-1117|ECONOMIA|Revista Brasileira de Ensino de Física (Impresso)|B4|2008
0034-7175|ECONOMIA|Revista Brasileira de Estatística|B5|2008
0102-3098|ECONOMIA|Revista Brasileira de Estudos de População (Impresso)|B2|2008
1981-3953|ECONOMIA|Revista Brasileira de Estudos Regionais e Urbanos|B4|2008
1517-4115|ECONOMIA|Revista Brasileira de Estudos Urbanos e Regionais (ANPUR)|B3|2008
1679-0731|ECONOMIA|Revista Brasileira de Finanças (Impresso)|B3|2008
1809-239X|ECONOMIA|Revista Brasileira de Gestão e Desenvolvimento Regional|B5|2008
1677-2504|ECONOMIA|Revista Brasileira de Inovação|B3|2008
1809-2063|ECONOMIA|Revista Brasileira de Medicina Equina|B5|2008
1414-381X|ECONOMIA|Revista Brasileira de Recursos Hídricos|B3|2008
1516-3598|ECONOMIA|Revista Brasileira de Zootecnia / Brazilian Journal of Animal Science|B2|2008
0034-737X|ECONOMIA|Revista Ceres|B5|2008
1414-0896|ECONOMIA|Revista Ciências Administrativas (UNIFOR)|B4|2008
1519-7077|ECONOMIA|Revista Contabilidade & Finanças (Impresso)|B3|2008
1679-2483|ECONOMIA|Revista da ABET (Impresso)|B5|2008
1676-4439|ECONOMIA|Revista da ABET (Online)|B5|2008
1517-5405|ECONOMIA|Revista da Pesquisa & Pós-Graduação|B5|2008
1415-1979|ECONOMIA|Revista da Sociedade Brasileira de Economia Política|B4|2008
0080-2107|ECONOMIA|Revista de Administração (FEA-USP)|B2|2008
1677-9525|ECONOMIA|Revista de Administração (URI. Frederico Westphalen)|B4|2008
0034-7604|ECONOMIA|Revista de Administração Municipal|B5|2008
0034-7612|ECONOMIA|Revista de Administração Pública (Impresso)|B2|2008
0716-5927|ECONOMIA|Revista de Análisis Económico|B5|2008
0103-0361|ECONOMIA|Revista de Biblioteconomia e Comunicacao (UFRGS)|C|2008
0716-1417|ECONOMIA|Revista de Ciencia Política (Santiago. Impresa)|B3|2008
1982-6486|ECONOMIA|Revista de Contabilidade e Organizações|C|2008
1413-1439|ECONOMIA|Revista de Direito Ambiental|B4|2008
1518-2703|ECONOMIA|Revista de Direito Bancário do Mercado de Capitais e da Arbitragem|B5|2008
1415-6318|ECONOMIA|Revista de Direito Bancário e do Mercado de Capitais|B5|2008
1806-5287|ECONOMIA|Revista de Direito da Concorrência|B5|2008
1678-7102|ECONOMIA|Revista de Direito Público da Economia|B5|2008
0101-7012|ECONOMIA|Revista de Econometria|B2|2008
1677-4973|ECONOMIA|Revista de Economia & Relações Internacionais|B5|2008
0556-5782|ECONOMIA|Revista de Economia (Curitiba)|B4|2008
0797-5546|ECONOMIA|Revista de economía - Banco Central del Uruguay (Impresa)|B5|2008
1981-4771|ECONOMIA|Revista de Economia Agrícola (Impresso)|C|2008
1415-9848|ECONOMIA|Revista de Economia Contemporânea (Impresso)|B3|2008
1676-7608|ECONOMIA|Revista de Economia e Administração (Impresso)|B4|2008
1679-1614|ECONOMIA|Revista de Economia e Agronegócio|B4|2008
0103-2003|ECONOMIA|Revista de Economia e Sociologia Rural (Impresso)|B2|2008
1678-5002|ECONOMIA|Revista de Economia Mackenzie (Impresso)|B5|2008
0101-3157|ECONOMIA|Revista de Economia Política (Impresso)|B2|2008
0103-2275|ECONOMIA|Revista de Estudos Economicos (USP)|A2|2008
